
开始运行: pipeline_countdown.py
 切换到门店：Woolworths Christchurch Airport

 正在爬取分类：Egg - https://www.woolworths.co.nz/shop/browse/pantry/eggs
[Egg] Woodland Eggs Free Range Size 7 Carton 10pack | 总价: 8.9|总数量：10pack | 单位价: 0.89 单位： ea | Promo: 1
[Egg] Woodland Eggs Free Range Size 6 Carton 10pack | 总价: 9.65|总数量：10pack | 单位价: 0.97 单位： ea | Promo: 0
[Egg] Woolworths Eggs Barn Mixed Grade Tray 20pack | 总价: 15.2|总数量：20pack | 单位价: 0.76 单位： ea | Promo: 0
[Egg] Henergy Eggs Cage Free Size 6 Carton 18pack | 总价: 13.0|总数量：18pack | 单位价: 0.72 单位： ea | Promo: 1
[Egg] Woolworths Eggs Barn Mixed Grade Carton 12pack | 总价: 8.5|总数量：12pack | 单位价: 0.71 单位： ea | Promo: 0
[Egg] Macro Eggs Free Range Mixed Grade Carton 12pack | 总价: 9.9|总数量：12pack | 单位价: 0.83 单位： ea | Promo: 0
[Egg] Farmer Brown Eggs Cage Free Barn Size 6 Carton 12pack | 总价: 8.4|总数量：12pack | 单位价: 0.7 单位： ea | Promo: 1
[Egg] Henergy Eggs Cage Free Size 7 Carton 12pack | 总价: 9.4|总数量：12pack | 单位价: 0.78 单位： ea | Promo: 1
[Egg] Henergy Eggs Cage Free Size 6 Carton 12pack | 总价: 10.5|总数量：12pack | 单位价: 0.88 单位： ea | Promo: 0
[Egg] Macro Eggs Free Range Mixed Grade Carton 18pack | 总价: 15.0|总数量：18pack | 单位价: 0.83 单位： ea | Promo: 0
[Egg] Otaika Valley Eggs Free Range Mixed Grade Carton 10pack | 总价: 8.69|总数量：10pack | 单位价: 0.87 单位： ea | Promo: 0
[Egg] Better Eggs Spca Eggs Free Range Mixed Grade Carton 12pack | 总价: 8.9|总数量：12pack | 单位价: 0.74 单位： ea | Promo: 1
[Egg] Farmer Brown Eggs Cage Free Barn Size 6 Carton 18pack | 总价: 14.99|总数量：18pack | 单位价: 0.83 单位： ea | Promo: 0
[Egg] Farmer Brown Eggs Cage Free Barn Size 7 Carton 12pack | 总价: 10.95|总数量：12pack | 单位价: 0.91 单位： ea | Promo: 0
[Egg] Otaika Valley Eggs Free Range Size 7 Carton 6pack | 总价: 6.6|总数量：6pack | 单位价: 1.1 单位： ea | Promo: 1
[Egg] Otaika Valley Eggs Free Range Size 7 Carton 12pack | 总价: 12.35|总数量：12pack | 单位价: 1.03 单位： ea | Promo: 0
[Egg] Macro Eggs Free Range Size 7 Carton 12pack | 总价: 11.2|总数量：12pack | 单位价: 0.93 单位： ea | Promo: 0
[Egg] Otaika Valley Eggs Free Range Mixed Grade Carton 18pack | 总价: 17.99|总数量：18pack | 单位价: 1.0 单位： ea | Promo: 0
[Egg] Woolworths Eggs Barn Size 7 Carton 12pack | 总价: 9.45|总数量：12pack | 单位价: 0.79 单位： ea | Promo: 0
[Egg] Macro Eggs Free Range Size 7 Carton 18pack | 总价: 16.5|总数量：18pack | 单位价: 0.92 单位： ea | Promo: 0
[Egg] Woolworths Eggs Barn Size 7 Carton 18pack | 总价: 15.3|总数量：18pack | 单位价: 0.85 单位： ea | Promo: 0
[Egg] Animal Welfare Foods Eggs Free Range Mixed Grade Carton 12pack | 总价: 11.65|总数量：12pack | 单位价: 0.97 单位： ea | Promo: 0
[Egg] Farmer Brown Eggs Colony Size 7 Carton 12pack | 总价: 8.6|总数量：12pack | 单位价: 0.72 单位： ea | Promo: 0
[Egg] Hens Choice Eggs Cage Free Mixed Grade Carton 12pack | 总价: 8.95|总数量：12pack | 单位价: 0.75 单位： ea | Promo: 0
[Egg] Farmer Brown Eggs Colony Size 6 Carton 12pack | 总价: 8.45|总数量：12pack | 单位价: 0.7 单位： ea | Promo: 0
