
开始运行: pipeline_countdown.py
 切换到门店：Woolworths Avonhead

 正在爬取分类：Egg - https://www.woolworths.co.nz/shop/browse/pantry/eggs
 共找到 109 个商品
[Egg] Woodland Eggs Free Range Size 6 Carton 10pack | 总价: 7.9|总数量：10pk | 单位价: 0.79 单位： ea | Promo: 1
[Egg] Woodland Eggs Free Range Size 7 Carton 10pack | 总价: 9.95|总数量：10pk | 单位价: 1.0 单位： ea | Promo: 0
[Egg] Woolworths Eggs Barn Mixed Grade Tray 20pack | 总价: 15.2|总数量：20pk | 单位价: 0.76 单位： ea | Promo: 0
[Egg] Farmer Brown Eggs Cage Free Barn Size 6 Carton 12pack | 总价: 8.4|总数量：12pk | 单位价: 0.7 单位： ea | Promo: 1
[Egg] Henergy Eggs Cage Free Size 6 Carton 18pack | 总价: 14.5|总数量：18pk | 单位价: 0.81 单位： ea | Promo: 0
[Egg] Macro Eggs Free Range Mixed Grade Carton 12pack | 总价: 9.9|总数量：12pk | 单位价: 0.83 单位： ea | Promo: 0
[Egg] Woolworths Eggs Barn Mixed Grade Carton 12pack | 总价: 8.5|总数量：12pk | 单位价: 0.71 单位： ea | Promo: 0
[Egg] Henergy Eggs Cage Free Size 6 Carton 12pack | 总价: 10.5|总数量：12pk | 单位价: 0.88 单位： ea | Promo: 0
[Egg] Henergy Eggs Cage Free Size 7 Carton 12pack | 总价: 10.8|总数量：12pk | 单位价: 0.9 单位： ea | Promo: 0
[Egg] Macro Eggs Free Range Mixed Grade Carton 18pack | 总价: 15.0|总数量：18pk | 单位价: 0.83 单位： ea | Promo: 0
[Egg] Better Eggs Spca Eggs Free Range Mixed Grade Carton 12pack | 总价: 8.9|总数量：12pk | 单位价: 0.74 单位： ea | Promo: 1
[Egg] Otaika Valley Eggs Free Range Mixed Grade Carton 10pack | 总价: 8.69|总数量：10pk | 单位价: 0.87 单位： ea | Promo: 0
[Egg] Farmer Brown Eggs Cage Free Barn Size 7 Carton 12pack | 总价: 10.95|总数量：12pk | 单位价: 0.91 单位： ea | Promo: 0
[Egg] Macro Eggs Free Range Size 7 Carton 12pack | 总价: 11.2|总数量：12pk | 单位价: 0.93 单位： ea | Promo: 0
[Egg] Otaika Valley Eggs Free Range Size 7 Carton 12pack | 总价: 12.35|总数量：12pk | 单位价: 1.03 单位： ea | Promo: 0
[Egg] Farmer Brown Eggs Cage Free Barn Size 6 Carton 18pack | 总价: 14.99|总数量：18pk | 单位价: 0.83 单位： ea | Promo: 0
[Egg] Otaika Valley Eggs Free Range Size 7 Carton 6pack | 总价: 7.49|总数量：6pk | 单位价: 1.25 单位： ea | Promo: 0
[Egg] New Day Eggs Free Range Mixed Grade Carton 12pack | 总价: 9.2|总数量：12pk | 单位价: 0.77 单位： ea | Promo: 1
[Egg] Otaika Valley Eggs Free Range Mixed Grade Carton 18pack | 总价: 17.99|总数量：18pk | 单位价: 1.0 单位： ea | Promo: 0
[Egg] Woolworths Eggs Barn Size 7 Carton 12pack | 总价: 9.45|总数量：12pk | 单位价: 0.79 单位： ea | Promo: 0
[Egg] Macro Eggs Free Range Size 7 Carton 18pack | 总价: 16.5|总数量：18pk | 单位价: 0.92 单位： ea | Promo: 0
[Egg] Woodland Eggs Free Range Size 7 Carton 6pack | 总价: 6.69|总数量：6pk | 单位价: 1.12 单位： ea | Promo: 0
[Egg] Woolworths Eggs Barn Size 7 Carton 18pack | 总价: 15.3|总数量：18pk | 单位价: 0.85 单位： ea | Promo: 0
[Egg] Farmer Brown Eggs Colony Size 7 Carton 12pack | 总价: 8.6|总数量：12pk | 单位价: 0.72 单位： ea | Promo: 0
[Egg] Farmer Brown Eggs Colony Size 6 Carton 12pack | 总价: 8.45|总数量：12pk | 单位价: 0.7 单位： ea | Promo: 0
[Egg] Woolworths Eggs Barn Mixed Grade Carton 6pack | 总价: 5.2|总数量：6pk | 单位价: 0.87 单位： ea | Promo: 0
[Egg] Woodland Eggs Free Range Size 6 Carton 18pack | 总价: 16.65|总数量：18pk | 单位价: 0.93 单位： ea | Promo: 0
[Egg] Macro Eggs Free Range Size 7 Carton 6pack | 总价: 6.3|总数量：6pk | 单位价: 1.05 单位： ea | Promo: 0
[Egg] Henergy Eggs Cage Free Jumbo Carton 10pack | 总价: 9.5|总数量：10pk | 单位价: 0.95 单位： ea | Promo: 0
[Egg] Better Eggs Spca Eggs Free Range Size 7 Carton 12pack | 总价: 12.5|总数量：12pk | 单位价: 1.04 单位： ea | Promo: 0
