store_id,category,name,price,unit,is_promo,collected_date
c6abac35-b75f-4a02-9b43-7ad5a7c7aa37,Egg,Woodland Free Range Size 7 Eggs,7.79,10pk,1,2025-04-07
c6abac35-b75f-4a02-9b43-7ad5a7c7aa37,Egg,Woodland Free Range Grade 7 Eggs,5.49,6pk,1,2025-04-07
c6abac35-b75f-4a02-9b43-7ad5a7c7aa37,Egg,Woodland Free Range Size 6 Eggs,9.69,10pk,0,2025-04-07
c6abac35-b75f-4a02-9b43-7ad5a7c7aa37,Egg,Farmer Brown Cage-Free Barn Size 6 Eggs,8.49,12pk,1,2025-04-07
c6abac35-b75f-4a02-9b43-7ad5a7c7aa37,Egg,Sure As Eggs Mixed Grade Eggs,6.99,10pk,1,2025-04-07
c6abac35-b75f-4a02-9b43-7ad5a7c7aa37,Egg,Woodland Free Range Grade 6 Eggs,5.49,6pk,1,2025-04-07
c6abac35-b75f-4a02-9b43-7ad5a7c7aa37,Egg,Farmer Brown Barn Cage Free Size 7 Eggs,5.99,6pk,0,2025-04-07
c6abac35-b75f-4a02-9b43-7ad5a7c7aa37,Egg,Woodland Free Range Grade 8 Eggs,7.29,6pk,0,2025-04-07
c6abac35-b75f-4a02-9b43-7ad5a7c7aa37,Egg,Farmer Brown Fresh Colony Size 7 Eggs,5.79,6pk,0,2025-04-07
c6abac35-b75f-4a02-9b43-7ad5a7c7aa37,Egg,New Day Free Range Mixed Grade Eggs,10.49,12pk,1,2025-04-07
c6abac35-b75f-4a02-9b43-7ad5a7c7aa37,Egg,Bowalley Free Range Size 6 Eggs,7.99,10pk,1,2025-04-07
c6abac35-b75f-4a02-9b43-7ad5a7c7aa37,Egg,Farmer Brown Barn Size 6 Eggs,15.49,18pk,0,2025-04-07
c6abac35-b75f-4a02-9b43-7ad5a7c7aa37,Egg,Farmer Brown Barn Cage Free Size 7 Eggs,16.99,18pk,0,2025-04-07
c6abac35-b75f-4a02-9b43-7ad5a7c7aa37,Egg,BENZIE Free Range Mixed Size Eggs,9.49,12pk,0,2025-04-07
c6abac35-b75f-4a02-9b43-7ad5a7c7aa37,Egg,Betty's Barn Cage Free Barn Mixed Grade Eggs,7.29,10pk,0,2025-04-07
c6abac35-b75f-4a02-9b43-7ad5a7c7aa37,Egg,Golden Downs Organic Free Range Mixed Grade Eggs,12.99,12pk,0,2025-04-07
c6abac35-b75f-4a02-9b43-7ad5a7c7aa37,Egg,Farmer Brown Barn Cage Free Size 8 Eggs,10.29,10pk,0,2025-04-07
c6abac35-b75f-4a02-9b43-7ad5a7c7aa37,Egg,Zeagold Egg White Natural Protein,14.79,980ml,0,2025-04-07
c6abac35-b75f-4a02-9b43-7ad5a7c7aa37,Egg,Hen's Choice Cage Free Barn Eggs,9.89,12pk,0,2025-04-07
c6abac35-b75f-4a02-9b43-7ad5a7c7aa37,Egg,Quail Valley Free Range Kilo Pack Jumbo Eggs,14.79,15pk,0,2025-04-07
c6abac35-b75f-4a02-9b43-7ad5a7c7aa37,Egg,Old Fashion Egg Co Free Range Eggs,9.99,12pk,0,2025-04-07
c6abac35-b75f-4a02-9b43-7ad5a7c7aa37,Milk,Value Standard Milk,4.39,2l,0,2025-04-07
c6abac35-b75f-4a02-9b43-7ad5a7c7aa37,Milk,Pams Standard Milk,4.99,2l,0,2025-04-07
c6abac35-b75f-4a02-9b43-7ad5a7c7aa37,Milk,Value Standard Milk,6.65,3l,0,2025-04-07
c6abac35-b75f-4a02-9b43-7ad5a7c7aa37,Milk,Pams Standard Milk,2.95,1l,0,2025-04-07
c6abac35-b75f-4a02-9b43-7ad5a7c7aa37,Milk,Pams Lite Milk,4.99,2l,0,2025-04-07
c6abac35-b75f-4a02-9b43-7ad5a7c7aa37,Milk,Meadow Fresh Original Fresh Milk,5.59,2l,0,2025-04-07
c6abac35-b75f-4a02-9b43-7ad5a7c7aa37,Milk,Value Trim Milk,4.39,2l,0,2025-04-07
c6abac35-b75f-4a02-9b43-7ad5a7c7aa37,Milk,Meadow Fresh Original Fresh Milk,3.39,1l,0,2025-04-07
c6abac35-b75f-4a02-9b43-7ad5a7c7aa37,Milk,Pams Standard Milk,7.99,3l,0,2025-04-07
c6abac35-b75f-4a02-9b43-7ad5a7c7aa37,Milk,Pams Trim Milk,2.95,1l,0,2025-04-07
c6abac35-b75f-4a02-9b43-7ad5a7c7aa37,Milk,Pams Calci Smart Milk,6.29,2l,0,2025-04-07
